TICKET,APAR,SUMMARY,COMPONENT,SUBCOMPONENT1,SUBCOMPONENT2,SUBCOMPONENT3,RELEASE_NOTE
SPM-150492,,Remove the remaining artifacts associated with the Generic Search Server (GSS) feature,Code Removal,,,,"The Generic Search Server (GSS), which used Lucene for indexing and search functionality, was removed as part of SPM v8.1.0.0. During that process, a number of related classes were identified that had not been previously deprecated and therefore could not be removed at that time. These classes were subsequently deprecated in Cúram 8.1.0.0 and have now been removed. 
The following model artifacts that have been removed as part of this exercise. 
../EJBServercomponentscoremodelPackagesInfrastructureIndex Search Synchronization_cat.efx
* Removed the class IndexConcernRoleSynchronization
* Removed the class IndexEmployerSynchronization
* Removed the class IndexTask_waSynchronization
* Removed the class IndexProductProviderSynchronization
* Removed the class IndexPaymentInstrumentSynchronization
* Removed the class IndexPaymentInstructionSynchronization
* Removed the class IndexLiabilityInstrumentSynchronization
* Removed the class IndexLiabilityInstructionSynchronization
* Removed the class IndexPaymentReceivedInstrumentSynchronization
* Removed the class IndexPaymentReceivedInstructionSynchronization
* Removed the class IndexPersonSynchronization
* Removed the class IndexAddressSynchronization
* Removed the class SynchronizeEvents
* Removed the class SynchronizeEventsDetails
* Removed the class EventKey
* Removed the class IndexIssueDeliverySynchronization
* Removed the class IndexScreeningSynchronization
* Removed the class IndexAssessmentDeliverySynchronization
* Removed the class IndexAlternateNameSynchronization
* Removed the class IndexConcernRoleDuplicateSynchronization
* Removed the class IndexInvestigationDeliverySynchronization
* Removed the class IndexAllegationRoleSynchronization
* Removed the class IndexResolutionSynchronization
* Removed the class IndexEducationalInstituteSynchronization
* Removed the class IndexedSearchConstant

The following java classes have been completely removed: 
* ..EJBServercomponentscoresourcecuramcoreimplIndexAddressSynchronization.java
* ..EJBServercomponentscoresourcecuramcoreimplIndexAllegationRoleSynchronization.java
* ..EJBServercomponentscoresourcecuramcoreimplIndexAllegationSynchronization.java
* ..EJBServercomponentscoresourcecuramcoreimplIndexAlternateNameSynchronization.java
* ..EJBServercomponentscoresourcecuramcoreimplIndexAssessmentDeliverySynchronization.java
* ..EJBServercomponentscoresourcecuramcoreimplIndexCaseHeaderSynchronization.java
* ..EJBServercomponentscoresourcecuramcoreimplIndexConcernRoleDuplicateSynchronization.java
* ..EJBServercomponentscoresourcecuramcoreimplIndexConcernRoleSynchronization.java
* ..EJBServercomponentscoresourcecuramcoreimplIndexEducationalInstituteSynchronization.java
* ..EJBServercomponentscoresourcecuramcoreimplIndexEmployerSynchronization.java
* ..EJBServercomponentscoresourcecuramcoreimplIndexInvestigationDeliverySynchronization.java
* ..EJBServercomponentscoresourcecuramcoreimplIndexIssueDeliverySynchronization.java
* ..EJBServercomponentscoresourcecuramcoreimplIndexLiabilityInstructionSynchronization.java
* ..EJBServercomponentscoresourcecuramcoreimplIndexLiabilityInstrumentSynchronization.java
* ..EJBServercomponentscoresourcecuramcoreimplIndexPaymentInstructionSynchronization.java
* ..EJBServercomponentscoresourcecuramcoreimplIndexPaymentInstrumentSynchronization.java
* ..EJBServercomponentscoresourcecuramcoreimplIndexPaymentReceivedInstructionSynchronization.java
* ..EJBServercomponentscoresourcecuramcoreimplIndexPaymentReceivedInstrumentSynchronization.java
* ..EJBServercomponentscoresourcecuramcoreimplIndexPersonSynchronization.java
* ..EJBServercomponentscoresourcecuramcoreimplIndexProductProviderSynchronization.java
* ..EJBServercomponentscoresourcecuramcoreimplIndexResolutionSynchronization.java
* ..EJBServercomponentscoresourcecuramcoreimplIndexScreeningSynchronization.java
* ..EJBServercomponentscoresourcecuramcoreimplIndexTask_waSynchronization.java
* ..EJBServercomponentscoresourcecuramcoreimplSynchronizeEvents.java
* ..EJBServercomponentscoresourcecuramcoreslinfrastructureimplIndexSearchConst.java
* ..EJBServercomponentsCFSSCommonsourcecuramcfsscommonimplIndexedSearchConstant.java 

The following file has been renamed: 
IndexServicePlanDeliverySynchronization.java has been renamed to ServicePlanDeliveryEventPublisher.java
* ..EJBServercomponentsServicePlanssourcecuramserviceplansslentityimplIndexServicePlanDeliverySynchronization.java 

Update any custom code or integrations that reference these classes or artifacts, as they are no longer available or have been renamed."
SPM-151034,,Java 8 - Update libraries in the BIRT Viewer runtime,Third Party Updates,,,,"Please note, the following information refers only to the version of BIRT used in the Java 8 version of the Cúram platform. 
The Cúram BIRT Viewer is the BIRT Engine infrastructure component that executes BIRT charts and reports. This component wraps the open-source BIRT Engine and is a Java Platform, Enterprise Edition application. 
The following BIRT-related JAR files have been updated to address minor defects:
* CuramBIRTViewerWebContentWEB-INFplatformpluginsorg.apache.batik.bridge_1.7.0.v201011041433.jar has been removed.
* CuramBIRTViewerWebContentWEB-INFplatformpluginsorg.apache.batik.bridge_1.7.0.v201011041433-1.jar has been added.
* CuramBIRTViewerWebContentWEB-INFplatformpluginsorg.apache.batik.transcoder_1.7.0.v201011041433.jar has been removed.
* CuramBIRTViewerWebContentWEB-INFplatformpluginsorg.apache.batik.transcoder_1.7.0.v201011041433-1.jar has been added.
* CuramBIRTViewerWebContentWEB-INFplatformpluginsorg.apache.poi_3.9.0.v201405241750.jar has been removed.
* CuramBIRTViewerWebContentWEB-INFplatformpluginsorg.apache.poi_5.4.1.v20250715-1000.jar has been added.
* CuramBIRTViewerWebContentWEB-INFplatformpluginsorg.eclipse.core.runtime_3.14.0.v20180417-0825.jar has been removed.
* CuramBIRTViewerWebContentWEB-INFplatformpluginsorg.eclipse.core.runtime_3.14.0.v20180417-0825-1.jar has been added.
* CuramBIRTViewerWebContentWEB-INFplatformpluginsorg.eclipse.birt.core_4.8.0.v201806261756.jar has been removed.
* CuramBIRTViewerWebContentWEB-INFplatformpluginsorg.eclipse.birt.core_4.8.0.v201806261756-1.jar has been added.
* CuramBIRTViewerWebContentWEB-INFplatformpluginsorg.eclipse.birt.chart.engine_4.8.0.v201806261756.jar has been removed.
* CuramBIRTViewerWebContentWEB-INFplatformpluginsorg.eclipse.birt.chart.engine_4.8.0.v201806261756-1.jar has been added.
* CuramBIRTViewerWebContentWEB-INFplatformpluginsorg.eclipse.birt.report.engine_4.8.0.v201806261756.jar has been removed.
* CuramBIRTViewerWebContentWEB-INFplatformpluginsorg.eclipse.birt.report.engine_4.8.0.v201806261756-1.jar has been added.
* CuramBIRTViewerWebContentWEB-INFplatformpluginsorg.eclipse.birt.report.model_4.8.0.v201806261756.jar has been removed.
* CuramBIRTViewerWebContentWEB-INFplatformpluginsorg.eclipse.birt.report.model_4.8.0.v201806261756-1.jar has been added.
* CuramBIRTViewerWebContentWEB-INFplatformpluginsorg.eclipse.datatools.enablement.ibm.db2.luw_1.2.1.201712071719.jar has been removed.
* CuramBIRTViewerWebContentWEB-INFplatformpluginsorg.eclipse.datatools.enablement.ibm.db2.luw_1.2.1.201712071719-1.jar has been added.
* CuramBIRTViewerWebContentWEB-INFplatformpluginsorg.eclipse.emf.ecore_2.14.0.v20180529-1144.jar has been removed.
* CuramBIRTViewerWebContentWEB-INFplatformpluginsorg.eclipse.emf.ecore_2.14.0.v20180529-1144-1.jar has been added.
* CuramBIRTViewerWebContentWEB-INFliborg.eclipse.emf.ecore_2.14.0.v20180529-1144.jar has been removed.
* CuramBIRTViewerWebContentWEB-INForg.eclipse.emf.ecore_2.14.0.v20180529-1144-1.jar has been added.
* CuramBIRTViewerWebContentWEB-INFplatformpluginsorg.eclipse.help_3.8.100.v20180512-1136.jar has been removed.
* CuramBIRTViewerWebContentWEB-INFplatformpluginsorg.eclipse.help_3.8.100.v20180512-1136-1.jar has been added.
* CuramBIRTViewerWebContentWEB-INFplatformpluginsorg.eclipse.core.resources_3.13.0.v20180512-1138.jar has been removed.
* CuramBIRTViewerWebContentWEB-INFplatformpluginsorg.eclipse.core.resources_3.13.0.v20180512-1138-1.jar has been added.
* CuramBIRTViewerWebContentWEB-INFplatformpluginsorg.eclipse.datatools.connectivity_1.14.1.201712071719.jar has been removed.
* CuramBIRTViewerWebContentWEB-INFplatformpluginsorg.eclipse.datatools.connectivity_1.14.1.201712071719-1.jar has been added.
* CuramBIRTViewerWebContentWEB-INFplatformpluginsorg.eclipse.datatools.enablement.oda.ws_1.4.1.201712071719.jar has been removed.
* CuramBIRTViewerWebContentWEB-INFplatformpluginsorg.eclipse.datatools.enablement.oda.ws_1.4.1.201712071719-1.jar has been added.
* CuramBIRTViewerWebContentWEB-INFplatformpluginsorg.eclipse.datatools.sqltools.result_1.3.1.201712071719.jar has been removed.
* CuramBIRTViewerWebContentWEB-INFplatformpluginsorg.eclipse.datatools.sqltools.result_1.3.1.201712071719-1.jar has been added.
* CuramBIRTViewerWebContentWEB-INFplatformpluginsorg.eclipse.birt.data.oda.pojo_4.8.0.v201806261756.jar has been removed.
* CuramBIRTViewerWebContentWEB-INFplatformpluginsorg.eclipse.birt.data.oda.pojo_4.8.0.v201806261756-1.jar has been added.
* CuramBIRTViewerWebContentWEB-INFplatformpluginsorg.apache.xerces_2.9.0.v201101211617.jar has been removed.
* CuramBIRTViewerWebContentWEB-INFplatformpluginsorg.apache.xerces_2.12.2.v20230928-1306.jar has been added.

The following JAR files have been removed as a result of the removal of the Eclipse provisioning p2 JARs that are not required for the Cúram BIRT runtime operation:
* CuramBIRTViewerWebContentWEB-INFplatformpluginsorg.eclipse.equinox.p2.artifact.repository_1.2.0.v20180413-0846.jar has been removed.
* CuramBIRTViewerWebContentWEB-INFplatformpluginsorg.eclipse.equinox.p2.core_2.5.0.v20180512-1128.jar has been removed.
* CuramBIRTViewerWebContentWEB-INFplatformpluginsorg.eclipse.equinox.p2.director_2.4.0.v20180302-1057.jar has been removed.
* CuramBIRTViewerWebContentWEB-INFplatformpluginsorg.eclipse.equinox.p2.directorywatcher_1.2.0.v20180130-1836.jar has been removed.
* CuramBIRTViewerWebContentWEB-INFplatformpluginsorg.eclipse.equinox.p2.engine_2.6.0.v20180409-1209.jar has been removed.
* CuramBIRTViewerWebContentWEB-INFplatformpluginsorg.eclipse.equinox.p2.extensionlocation_1.3.0.v20180103-0918.jar has been removed.
* CuramBIRTViewerWebContentWEB-INFplatformpluginsorg.eclipse.equinox.p2.garbagecollector_1.1.0.v20180103-0918.jar has been removed.
* CuramBIRTViewerWebContentWEB-INFplatformpluginsorg.eclipse.equinox.p2.jarprocessor_1.1.0.v20180512-1128.jar has been removed.
* CuramBIRTViewerWebContentWEB-INFplatformpluginsorg.eclipse.equinox.p2.metadata.repository_1.3.0.v20180302-1057.jar has been removed.
* CuramBIRTViewerWebContentWEB-INFplatformpluginsorg.eclipse.equinox.p2.metadata_2.4.0.v20180320-1220.jar has been removed.
* CuramBIRTViewerWebContentWEB-INFplatformpluginsorg.eclipse.equinox.p2.publisher.eclipse_1.3.0.v20180320-1332.jar has been removed.
* CuramBIRTViewerWebContentWEB-INFplatformpluginsorg.eclipse.equinox.p2.publisher_1.5.0.v20180320-1332.jar has been removed.
* CuramBIRTViewerWebContentWEB-INFplatformpluginsorg.eclipse.equinox.p2.reconciler.dropins_1.2.0.v20180302-1057.jar has been removed.
* CuramBIRTViewerWebContentWEB-INFplatformpluginsorg.eclipse.equinox.p2.repository_2.4.0.v20180512-1128.jar has been removed.
* CuramBIRTViewerWebContentWEB-INFplatformpluginsorg.eclipse.equinox.p2.touchpoint.eclipse_2.2.0.v20180302-1057.jar has been removed.

It is recommended that you update or remove any references in custom scripts and other artifacts to the JAR files that are specified above.
"
SPM-151068,,Update to the latest version of the Rampart Axis2 security library - esapi,Third Party Updates,,,,"Cúram web services are based on Apache Axis2. With the Rampart security module of Axis2, SPM web services can be secured for authentication, integrity (signature), confidentiality (encryption or decryption), and non-repudiation (timestamp). 
The version of one of the JAR files in Rampart has been updated. As a result of this update, the following changes have been made to the JDE Axis2 deliverable:
* CuramSDEJlibaxis2esapi-2.7.0.0.jar - version updated from 2.6.0.0 to 2.7.0.0. 

Note that any references in custom scripts and other artifacts to the updated JAR file listed above must be updated.
"
SPM-151186,,Update the version of the Db2 driver shipped with the Cúram deliverable,Third Party Updates,,,,"The version of Db2 Driver used by Cúram has now been updated from 4.34.30 (taken from Db2 Version 12.1.0.0) to 4.36.6 (taken from Db2 Version 12.1.3.0). 
The new version contains some defect fixes and minor enhancements. 
As a result of this upgrade, the version of the db2jcc4 JAR and sqlj4 zip has been updated in the following files in the Cúram deliverable:
* CuramSDEJ/drivers/db2/db2jcc4.jar
* CuramSDEJ/drivers/db2/sqlj4.zip
* CuramSDEJ/drivers/DRIVERS_README.txt

It is recommended that you update any references in custom scripts and other artifacts to point to the new version of the JAR files that are specified above.
"
SPM-151244,,Java 8 - Update the Axis 2 axis2-transport-http JAR file to a later version,Third Party Updates,,,,"Please note, the following information refers only to the version of Axis2 used in the Java 8 version of the Cúram platform. 
The axis2-transport-http JAR file provides Axis2?s HTTP(S) transport implementation ? the sender and receiver components used to deliver and accept SOAP/REST messages over HTTP/HTTPS. It plugs into Axis2?s transport framework (configured via axis2.xml) and handles connection management, headers, streaming/chunked transfers, and transport-level features, enabling services to be invoked over the web. 
The version of the axis2-transport-http JAR file shipped with the Cúram Axis2 deliverable has been updated from 1.6.2 to 1.6.2-1. This new version contains some minor defect fixes. 
As a result of this upgrade, the following changes have been made in the JDE deliverable.
* CuramSDEJlibaxis2axis2-transport-http-1.6.2-1.jar - version of the JAR updated.

Update any references in custom scripts and other artifacts to point to the new version of the JAR file specified above.
"
SPM-151387,,"Modern Java - Update org.apache.derby JAR on Cúram ",Third Party Updates,,,,"Please note, the following information refers only to the version of BIRT used in the Modern Java version of the Cúram platform. 
The Cúram BIRT Viewer is the BIRT Engine infrastructure component that executes BIRT charts and reports. This component wraps the open-source BIRT Engine and is a Java Platform, Enterprise Edition application. 
The following BIRT-related JAR file has been updated  to address minor defects:
* CuramBIRTViewerWebContentWEB-INFplatformpluginsorg.apache.derby_10.16.1.v20240802-0900.jar has been removed.
* CuramBIRTViewerWebContentWEB-INFplatformpluginsorg.apache.derby_10.16.1.v20240802-0900-1.jar has been added.

It is recommended that you update or remove any references in custom scripts and other artifacts to the JAR file that is specified above.
"
SPM-151644,DT037475,Issue with holiday (non-payment date) calendar,ENT,Financial Management,Financials,,"*Issue Description:*
The financial calendar contains exclusion dates representing days on which the organization is closed for business. Payments may be due on these dates; however, the organization may not be in operation, in which case the batch jobs may not be run. In a simple scenario, where no offset exists on the delivery pattern used for a payment, if the financial batch jobs are run on the day before the exclusion date, the payments due on the exclusion date (the following day) will be processed. 
If an offset does exist on the delivery pattern, then the financial processing fails to account for the exclusion date correctly. To overcome this shortcoming, a customer may have customized the application to set the Next Processing Date on a financial component so that it takes account of the exclusion date; in essence, it adds it to the offset. Two issues can arise in this instance. If an organization does not add an exclusion date to the calendar in a timely manner, or if ad hoc days are added during the year, then ideally the financial components need to be regenerated. 
When reassessing cases and generating financials, the Next Processing Date is not included in the FCGenerationUtil.isEquals() check for financial components. This means that the system will always see newly generated financial components, on new cases that have not been paid out on, as identical to those in the database, even when the Next Processing Date differs.
Further rationale for adding the Next Processing Date to the equality check is to account for scenarios where there may have been issues calculating the dynamic offset for a financial component. In these cases, a reassessment is required to recalculate the Next Processing Date and write new financial components to the system.
*User Interface Impact:* No
*Prerequisites:*
# A customization needs to be in place to alter the Next Processing Date to be 4 days earlier than it would be, to account for the delivery pattern 3 day offset plus the exclusion date.

*Steps to Reproduce:*
# Log in as a caseworker.
# Register a new Person.
# Create an integrated case for the person.
# Add the necessary evidence to make the client eligible.
# Activate the evidence.
# Add an associated product delivery to the integrated case using the delivery pattern:## Weekly By Check On Monday In Advance (3-day offset)

# Add certification to the product delivery:## 1st March 2026 (Monday) to 22nd April 2026 (Sunday)

# Submit, approve and activate the product delivery.
# Queue and run the GenerateInstructionLineItems and GenerateInstruments batch jobs for 1st March 2026.## A payment for the week starting Monday, 1st March 2026 should be generated.

# The organization now realizes that it failed to add an exclusion date of 8th March 2026.
# Issue: Upon adding the exclusion date for 8th March 2026, ideally a forced reassessment of the case, which generates the financial components, would write a new financial component to the system with an updated Next Processing Date. However, this does not happen due to the isEquals() function inside FCGenerationUtil not including the Next Processing Date as part of its comparison criteria.

*Resolution:*
To facilitate the regeneration of the financial components in the scenario outlined above, the Next Processing Date has been added as part of the comparison criteria in the FCGenerationUtil.isEquals() function. This will enable a customer to use the Reassessing Outstanding Cases batch process to reassess and regenerate the financial components. *Note: *Regeneration of financial components only happens on CREOLE cases. The assessment engine short-circuits on classic cases if it finds that there has been no change in eligibility and entitlement.  
"
SPM-151733,,Duplicate relationship evidence added when submitting an Income Support application for a single mother and a child,SOL,Income Support,,,"*Issue Description:*
When an Income Support caseworker submits an application that registers participants as persons, the system displays multiple relationship evidence records for the same individual. This occurs because a household member is created as a Prospect Person during intake and then registered as a Person in the same application, so separate relationship evidence records appear for each state.
*User Interface Impact:* No
*Steps to Reproduce:*
# Log in as an Income Support caseworker.
# Register a new person.
# From the person?s home page, create a new Income Support application that includes a household member.
# Submit the application.
# Navigate to the registered person?s home page and click the Evidence tab.
# Review the relationship evidence records.
# Issue:* *Two Relationship evidence records are displayed for the same person?household member relationship.

*Resolution:*
The Evidence tab on the person?s home page now displays a single Relationship evidence record for the registered household member. When a participant moves from Prospect Person to Person during the application process, the system no longer creates multiple relationship evidence records for the same logical relationship.
"
SPM-151757,DT037478,Verification Ruleset error when evidence is in the incoming queue,CEF,Verification,,,"*Issue Description:*
When conditionally verifiable evidence is shared from a source case to a target case and appears on the incoming evidence list, the application attempts to execute verification rules that are not applicable to evidence with a status of ?Identical Shared In-Edit?. This results in rules errors being logged and, in some cases, a null pointer exception.
*User Interface Impact:* No
*Steps to Reproduce:*
# Log in as an Insurance Affordability caseworker.
# Register a person.
# Click New Application on the person?s home page.
# Complete the Insurance Affordability application with the following details:## SSN, US Citizen, Not Enrolled on a Health Plan, TaxFiler, No Tax Dependents.

# In the Household Income section, record:## American Indian Alaska Native Income of $10,000 per year.
## Excluded Income of type Scholarship Income with an excluded amount of $2,000 per year.

# Submit the application.
# Open the newly created application case and authorize it.
# On the Related Cases tab, open the integrated case.
# On the Evidence tab, select Verifications and clear the verifications by providing the necessary proof.
# Create a new application for the same person, using the same details as before, but change the income to $12,000 per year. Do not change the Scholarship Income.
# Submit the second application.
# Evidence is pulled from the integrated case to the application case incoming list.
# Issue: Rules errors appear in the logs after the evidence is added to the incoming evidence list of the second application. In some cases, a null pointer exception is thrown.

*Resolution:*
The application now prevents execution of conditional verification rules for evidence with a status of ?Identical Shared In-Edit? when such evidence is added to the incoming evidence list. Defensive checks have been added to ensure that rules are only executed when appropriate, preventing rules errors and null pointer exceptions from being logged. This change ensures that Insurance Affordability caseworkers do not encounter unnecessary error messages when processing evidence for persons with multiple applications. "
SPM-151971,DT037483,Unclear what to enter in the Reference Number field of the Receive Payment for a Person page,ENT,Financial Management,Financials,,"*Issue Description:*
The purpose of the Reference Number field on the ?Receive Payment for a Person? modal is unclear to caseworkers. The help text does not adequately explain what the field value represents or how it is used.
*User Interface Impact:* Yes
*Steps to Reproduce:*
# Log in as a financial user.
# Click the Transactions and Accounts tab.
# Click the ?Receive Payment for a Person? shortcut.
# Search for a person and select one from the search results.
# On the next screen, enter some information and enter a value in the Reference Number field.
# Issue: The following message is displayed, ?Invalid Reference Number entered. Please modify or remove.? It is not clear to a caseworker what this field is for.

*Resolution:*
The issue reported has been addressed by changing the field label from Reference Number to Liability Reference Number, as that field represents the liability external reference number. This is the human-readable liability instrument identifier. The help text for the field has also been updated to make it clear to the caseworker precisely what the field value is and how it is used. Finally, the whole purpose of supplying a liability external reference number with a payment received is to allow the payment received to be allocated against the specified liability. If a liability external reference number is supplied, the liabilities list page should be filtered on that liability. Previously, this filtering was not happening. This is now addressed, and only the liability with the supplied liability external reference number is returned. As before, all liabilities are returned if no liability reference number is provided.
"
SPM-151989,DT037487,Handling UnsupportedCallbackException in the CuramLoginModule for WebLogic Server with SSO,CEF,Technical Services,Security Management,Infrastructure,"*Issue Description:*
In a WebLogic SAML Single-Sign-On (SSO) deployment where Cúram is configured to run in identity-only authentication mode, a login failure could occur during user authentication.
In this configuration, authentication is initiated using SSO and does not include a traditional password. However, when multiple WebLogic authentication providers are configured in the login module stack, a downstream authentication module attempts to perform a password-based authentication callback check. 
The CuramLoginModule is unable to handle this callback and throws an UnsupportedCallbackException, causing the login process to fail. As a result, users who successfully authenticate with the external Identity Provider are unable to access the Cúram application and are blocked at login despite having valid SSO credentials.
*User Interface Impact: *No
*Steps to Reproduce:*
# Configure a WebLogic Server environment with SAML Single-Sign-On (SSO) enabled using an external Identity Provider.
# Configure Cúram to run in identity-only authentication mode.
# Initiate login to the Cúram application using SSO.
# Issue: After successful authentication at the Identity Provider, Cúram fails to authenticate the user.

*Resolution:*
The CuramLoginModule has been updated to correctly handle authentication flows within a WebLogic SSO environment. "
SPM-152239,DT037492,ReassessOutstandingCases batch is very slow due to extremely large number of SELECTs on OverUnderPaymentBreakdown table,CEF,Business Services,Overpayments Management,,"*Issue Description:*
On extremely long running granular reassessments, where many previous over and underpayments exist, a lot of time is spent executing the same SQL on the OverUnderPaymentBreakdown entity. The API where the entity operations are executed is OverUnderPaymentBreakdownImpl.adjustForPreviousReassessments(final OverUnderPaymentBreakdown currentBreakdown, final long prevNOUPID).
*User Interface Impact:* No
*Steps to Reproduce: *N/A
*Resolution:*
The entity operations in the above API have been cached to greatly reduce the amount of time spent in the data access layer. This will hugely benefit long running granular reassessments where the breakdown is stored on the OverUnderPaymentBreakdown entity and the same SQL is being executed over and over again. "
SPM-152623,DT037494,Batch streamer does not stop or exit when the chunker has no data,CEF,Technical Services,Administration,Batch Processing,"*Issue Description:*
When the chunker for a batch job does not generate any chunks, the streamer(s) do not exit.
*User Interface Impact:* No
*Steps to Reproduce:*
# Start a batch streamer and wait for it to fully initialize.
# Start the corresponding chunker, ensuring that the parameters or underlying data will cause it to process no records.
# The chunker will initialize, produce no chunks, and then exit normally.
# Issue: The streamer(s) will not exit and must be terminated manually, or will terminate normally once the corresponding chunker produces one or more chunks for the job.

*Resolution:*
Batch streamers now exit normally once their chunker completes the batch run, regardless of whether the batch run produces zero chunks."
SPM-153073,DT037479,Specific inline configuration for a tab action menu is not working correctly,CEF,Application Development Environment,Client Development Environment,,"*Issue Description:*
In some cases, the max-inline-items setting configured for one tab can affect the display of tab action menus on other tabs. This results in an inconsistent user experience where a tab incorrectly inherits the action menu configuration from a previously opened tab.
*User Interface Impact:* No
*Prerequisites*:
# Configure the 'Person Home' tab actions menu to display 3 inline items (set max-inline-items=""""3"""").
# Configure the 'Incident' tab actions menu to display 0 inline items (set max-inline-items=""""0"""").

*Steps to Reproduce*:
# Log in as a caseworker
# Search for and open a person's record 
# Observe that the Person Home tab correctly shows 3 inline items.
# From the Person Home tab, create a new incident, save it, and open the Incident tab. 
# Navigate back to the previously opened Person Home tab.
# Issue: The Person Home tab now incorrectly displays 0 inline items, having inherited the configuration from the Incident tab.

*Resolution:*
The application is updated to ensure that tab action menu configurations are correctly isolated. Each tab now displays its own inline actions and tab action menu consistently according to its specific configured settings, regardless of the navigation sequence.
"
SPM-153270,,Update the log4j JAR files to the latest version,Third Party Updates,,,,"Apache Log4j is a Java-based logging utility that is used as the logging provider for the Cúram product. 
The version of Log4j used by the Cúram application has now been updated from 2.23.1 to 2.26.0. This new JAR file contains some minor bug fixes and enhancements. 
As a result of this upgrade, the following changes have been made to the Java Development Environment (JDE) deliverable:
* CuramSDEJlibthird&#95;party&#95;version.properties - the versions of the specified Log4j JAR files have been updated.
* CuramSDEJliblog4j-api-2.26.0.jar - new JAR added.
* CuramSDEJliblog4j-api-2.23.1.jar - old JAR removed.
* CuramSDEJliblog4j-core-2.26.0.jar - new JAR added.
* CuramSDEJliblog4j-core-2.23.1.jar - old JAR removed.
* CuramSDEJxmlserverlog4j-api-2.26.0.jar - new JAR added.
* CuramSDEJxmlserverlog4j-api-2.23.1.jar - old JAR removed.
* CuramSDEJxmlserverlog4j-core-2.26.0.jar - new JAR added.
* CuramSDEJxmlserverlog4j-core-2.23.1.jar - old JAR removed.
* CuramCDEJlibextjarlog4j-api-2.26.0.jar - new JAR added.
* CuramCDEJlibextjarlog4j-api-2.23.1.jar - old JAR removed.
* CuramCDEJlibextjarlog4j-core-2.26.0.jar - new JAR added.
* CuramCDEJlibextjarlog4j-core-2.23.1.jar - old JAR removed.

It is recommended that you update any references in custom scripts and other artifacts to point to the new version of the JAR files mentioned above. "
SPM-153304,,Modern Java - Update Bouncy Castle to version 1.84,Third Party Updates,,,,"The Bouncy Castle Crypto package is a Java implementation of cryptographic algorithms developed by the Legion of the Bouncy Castle. 
The following versions have been updated to the latest:
* CuramSDEJlibaxis2bcprov_1.80.0.jar updated to CuramSDEJlibaxis2bcprov-jdk18on-1.84.jar 
* CuramBIRTViewerWebContentWEB-INFplatformpluginsbcpkix_1.80.0.jar updated to CuramBIRTViewerWebContentWEB-INFplatformpluginsbcpkix-jdk18on-1.84.jar
* CuramBIRTViewerWebContentWEB-INFplatformpluginsbcprov_1.80.0.jar updated to CuramBIRTViewerWebContentWEB-INFplatformpluginsbcprov-jdk18on-1.84.jar
* CuramBIRTViewerWebContentWEB-INFplatformpluginsbcutil_1.80.0.jar updated to CuramBIRTViewerWebContentWEB-INFplatformpluginsbcutil-jdk18on-1.84.jar

"
SPM-153419,,Java 8 - Update the velocity-engine-core JAR file to a later version,Third Party Updates,,,,"Cúram web services are based on Apache Axis2. With the Rampart security module of Axis2, Cúram web services can be secured for authentication, integrity (signature), confidentiality (encryption/decryption), and non-repudiation (timestamp). 
The version of one of the JAR files in Rampart has been updated. The Apache Velocity Engine is a core module of Apache Velocity, a Java-based template engine for generating text output. As a result of this update, the following changes have been made to the JDE Axis2 deliverable:
* CuramSDEJlibaxis2velocity-engine-core-2.4.1.jar - version updated from 2.3 to 2.4.1.

Note that any references in custom scripts and other artifacts to the updated JAR file listed above must be updated. 
Also, please note that the above change only applies to the Java 8 release. The version of Axis2 used in  Modern Java does not include the velocity engine."
SPM-153936,,The createkeystore target should use the keystore password defined in CryptoConfig.properties,CEF,Application Development Environment,Infrastructure,Infrastructure,"*Issue Description:*
The keystore password configuration no longer has a default value and must now be explicitly provided during installation or upgrade.
*User Interface Impact:* No
*Steps to Reproduce:*N/A
*Resolution:*
* The keystore password must now be configured by the administrator; it is no longer automatically set.
* For new environments, this configuration is applied as part of the keystore setup process.
* For upgrades from versions earlier than 8.2.0.0, if an existing keystore is retained, administrators may need to manually provide the required configuration. See our Curam Security guide for more details.
* After updating the configuration, ensure the system configuration is synchronized as part of the standard setup process. "
